Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Combinación PRI PVEM NA PD,Combinación PRI PVEM NA,Combinación PRI PVEM PD,Combinación PRI NA PD,Combinación PVEM NA PD,Combinación PRI PVEM,Combinación PRI NA,Combinación PRI PD,Combinación PVEM NA,Combinación PVEM PD,Combinación NA PD,Combinación PRD PT,Votos Anulados
26,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,735,536,344,175,0,3,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,735,518,287,211,0,1,0,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
27,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,452,289,171,107,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,452,303,141,143,0,1,3,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,691,394,184,184,0,2,8,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
28,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,691,387,215,156,0,1,3,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,CONTIGUA 2,Ayuntamiento,Allende,24,Acta contabilizada,691,414,199,195,0,0,3,8,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,601,341,178,128,0,7,4,6,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
29,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,601,343,178,132,0,2,9,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
29,CONTIGUA 2,Ayuntamiento,Allende,24,Acta contabilizada,600,319,175,121,0,3,6,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
